date,firm_id,E,sigma_E,D,r,V,sigma_V,DD,PD_raw,PD_smoothed,success
2020-09-01,F,20305.6,0.2905,139485.0,0.012,158126.63025538248,0.03730811433751251,3.4407499078818486,0.00012355388806274724,0.0041882437163914925,True
2020-09-02,F,20658.4,0.2866,139485.0,0.012,158479.46084704954,0.037362613529027915,3.4876452336019663,9.981185877814079e-05,0.0037794005238258586,True
2020-09-03,F,20266.4,0.2856,139485.0,0.0119,158101.25044463685,0.0366130300830545,3.4999158519100226,9.634647357418702e-05,0.003411095113284019,True
2020-09-04,F,20540.8,0.2847,139485.0,0.0119,158375.6564923317,0.036927543467251654,3.5109781511865314,9.080938993371373e-05,0.0030790665364730197,True
2020-09-08,F,20893.6,0.2892,139485.0,0.0118,158742.20819843636,0.038068114045146276,3.4562025838961907,0.00011295712678480322,0.002782455591905534,True
2020-09-09,F,20736.8,0.2884,139485.0,0.0118,158585.41446688733,0.03771504198316091,3.4658248421713953,0.00010916605034212964,0.002515126634830136,True
2020-09-10,F,20540.8,0.2871,139485.0,0.0118,158389.42417297693,0.03723599306948522,3.48156909862714,0.00010296275281683713,0.0022739102442582734,True
2020-09-11,F,20815.2,0.2784,139485.0,0.0117,158677.6612250259,0.03652227419108551,3.590546840716011,6.35705940494731e-05,0.002052876277282421,True
2020-09-14,F,21168.0,0.2748,139485.0,0.0117,159030.4766904442,0.03657928139076122,3.637623938325222,5.082482118671412e-05,0.0018526711300791766,True
2020-09-15,F,20932.8,0.2762,139485.0,0.0117,158795.27098521465,0.036411140215209956,3.619180002474173,5.575273256992548e-05,0.0016729792890409062,True
2020-09-16,F,20893.6,0.2672,139485.0,0.0116,158769.8872270706,0.03516362940394308,3.7412476060500537,3.233976821044432e-05,0.0015089153359000142,True
2020-09-17,F,21638.4,0.2846,139485.0,0.0116,159514.61435055765,0.03860927249158788,3.512117297066351,8.617626274235608e-05,0.0013666414277586345,True
2020-09-18,F,21520.8,0.2851,139485.0,0.0116,159397.01101445718,0.03849537609838724,3.5059563885635083,8.894691528387824e-05,0.0012388719758438587,True
2020-09-21,F,20423.2,0.3203,139485.0,0.0115,158312.64672213665,0.041336456039334495,3.119430219153972,0.00044917541448055465,0.0011599023193363377,True
2020-09-22,F,20148.8,0.3064,139485.0,0.0115,158038.56042776466,0.0390725893442304,3.2616743733535287,0.00025931891993326447,0.0010698439790150496,True
2020-09-23,F,19756.8,0.3046,139485.0,0.0114,157660.3801146055,0.038178210421912585,3.2810522993640756,0.00024352023896443656,0.0009872116046953788,True
2020-09-24,F,19796.0,0.3021,139485.0,0.0114,157699.61759884414,0.037929707887915796,3.3082999872008694,0.00021786115047552117,0.000910276559009767,True
