date,firm_id,equity_vol
2020-09-14,JPM,0.2672
2020-09-15,JPM,0.2833
2020-09-16,JPM,0.2827
2020-09-17,JPM,0.281
2020-09-18,JPM,0.2811
2020-09-21,JPM,0.2877
2020-09-22,JPM,0.2859
2020-09-23,JPM,0.2702
2020-09-24,JPM,0.27
2020-09-25,JPM,0.2721
2020-09-28,JPM,0.2871
2020-09-29,JPM,0.2784
2020-09-30,JPM,0.2775
2020-10-01,JPM,0.2784
2020-10-02,JPM,0.2775
2020-10-05,JPM,0.284
2020-10-06,JPM,0.2738
2020-10-07,JPM,0.2783
2020-10-08,JPM,0.281
2020-10-09,JPM,0.2651
2020-10-12,JPM,0.2672
2020-10-13,JPM,0.261
2020-10-14,JPM,0.2617
2020-10-15,JPM,0.2616
2020-10-16,JPM,0.2615
2020-10-19,JPM,0.2582
2020-10-20,JPM,0.2378
2020-10-21,JPM,0.2381
2020-10-22,JPM,0.2571
2020-10-23,JPM,0.256
2020-10-26,JPM,0.2639
2020-10-27,JPM,0.2535
2020-10-28,JPM,0.2663
2020-10-29,JPM,0.265
2020-10-30,JPM,0.2662
2020-11-02,JPM,0.2566
2020-11-03,JPM,0.2671
2020-11-04,JPM,0.2793
2020-11-05,JPM,0.2997
2020-11-06,JPM,0.3037
2020-11-09,JPM,0.4839
2020-11-10,JPM,0.4827
2020-11-11,JPM,0.487
2020-11-12,JPM,0.49
2020-11-13,JPM,0.4899
2020-11-16,JPM,0.4922
2020-11-17,JPM,0.4922
2020-11-18,JPM,0.4925
2020-11-19,JPM,0.4904
2020-11-20,JPM,0.491
2020-11-23,JPM,0.4956
2020-11-24,JPM,0.5051
2020-11-25,JPM,0.5064
2020-11-27,JPM,0.5074
2020-11-30,JPM,0.5163
2020-12-01,JPM,0.5127
2020-12-02,JPM,0.514
2020-12-03,JPM,0.5131
2020-12-04,JPM,0.5062
2020-12-07,JPM,0.5069
2020-12-08,JPM,0.4989
2020-12-09,JPM,0.4949
2020-12-10,JPM,0.4855
2020-12-11,JPM,0.4871
2020-12-14,JPM,0.4898
2020-12-15,JPM,0.4885
2020-12-16,JPM,0.4828
2020-12-17,JPM,0.4725
2020-12-18,JPM,0.4619
2020-12-21,JPM,0.4681
2020-12-22,JPM,0.2688
2020-12-23,JPM,0.279
2020-12-24,JPM,0.275
2020-12-28,JPM,0.2713
2020-12-29,JPM,0.2718
2020-12-30,JPM,0.2612
2020-01-02,TSLA,0.8964
2020-01-03,TSLA,0.8964
2020-01-06,TSLA,0.8964
